SKU,SKU Description,Term,Unit of Measure,Currency,List Price
RH02223,"Red Hat Enterprise Linux for IBM Power, LE, Diagnostic Support (1 Core, Scale out, Multi-tenant, Yearly)",ANNUAL,CORE BAND,USD,239
RH02223HR,"Red Hat Enterprise Linux for IBM Power, LE, Diagnostic Support (1 Core, Scale out, Multi-tenant, Hourly)",HOUR,CORE BAND,USD,0.03
RH02223MO,"Red Hat Enterprise Linux for IBM Power, LE, Diagnostic Support (1 Core, Scale out, Multi-tenant, Monthly)",MONTH,CORE BAND,USD,22
RH02224,"Red Hat Enterprise Linux for IBM Power, LE, Full Support (1 Core, Scale out, Multi-tenant, Yearly)",ANNUAL,CORE BAND,USD,287
RH02224HR,"Red Hat Enterprise Linux for IBM Power, LE, Full Support (1 Core, Scale out, Multi-tenant, Hourly)",HOUR,CORE BAND,USD,0.04
RH02224MO,"Red Hat Enterprise Linux for IBM Power, LE, Full Support (1 Core, Scale out, Multi-tenant, Monthly)",MONTH,CORE BAND,USD,26
RH02225,"Red Hat Enterprise Linux for SAP with High Availability and Update Services for IBM Power, LE, Full Support (1 Core, Scale Out Multi-tenant, Yearly)",ANNUAL,CORE BAND,USD,382.105
RH02225HR,"Red Hat Enterprise Linux for SAP with High Availability and Update Services for IBM Power, LE, Full Support (1 Core, Scale out, Multi-tenant, Hourly)",HOUR,CORE BAND,USD,0.05
RH02225MO,"Red Hat Enterprise Linux for SAP with High Availability and Update Services for IBM Power, LE, Full Support (1 Core, Scale Out, Multi-tenant, Monthly)",MONTH,CORE BAND,USD,33
RH02226,"Red Hat Enterprise Linux for SAP with High Availability and Update Services for IBM Power, LE, Diagnostic Support (1 Core, Scale Out Multi-tenant, Yearly)",ANNUAL,CORE BAND,USD,302
RH02226HR,"Red Hat Enterprise Linux for SAP with High Availability and Update Services for IBM Power, LE, Diagnostic Support (1 Core, Scale out, Multi-tenant, Hourly)",HOUR,CORE BAND,USD,0.04
RH02226MO,"Red Hat Enterprise Linux for SAP with High Availability and Update Services for IBM Power, LE, Diagnostic Support (1 Core, Scale Out, Multi-tenant, Monthly)",MONTH,CORE BAND,USD,27
RH02227,"Red Hat Enterprise Linux for SAP with High Availability and Update Services for IBM Power, LE, Full Support (1 Core, Enterprise, Multi-tenant, Yearly)",ANNUAL,CORE BAND,USD,798
RH02227HR,"Red Hat Enterprise Linux for SAP with High Availability and Update Services for IBM Power, LE, Full Support (1 Core, Enterprise, Multi-tenant, Hourly)",HOUR,CORE BAND,USD,0.11
RH02227MO,"Red Hat Enterprise Linux for SAP with High Availability and Update Services for IBM Power, LE, Full Support (1 Core, Enterprise Multi-tenant, Monthly)",MONTH,CORE BAND,USD,73
RH02228,"Red Hat Enterprise Linux for SAP with High Availability and Update Services for IBM Power, LE, Diagnostic Support (1 Core, Enterprise Multi-tenant, Yearly)",ANNUAL,CORE BAND,USD,665
RH02228HR,"Red Hat Enterprise Linux for SAP with High Availability and Update Services for IBM Power, LE, Diagnostic Support (1 Core, Enterprise, Multi-tenant, Hourly)",HOUR,CORE BAND,USD,0.09
RH02228MO,"Red Hat Enterprise Linux for SAP with High Availability and Update Services for IBM Power, LE, Diagnostic Support (1 Core, Enterprise, Multi-tenant, Monthly)",MONTH,CORE BAND,USD,60
RH02229,"Red Hat Enterprise Linux for IBM Power, LE, Diagnostic Support (1 Core, Enterprise, Multi-tenant, Yearly)",ANNUAL,CORE BAND,USD,526
RH02229HR,"Red Hat Enterprise Linux for IBM Power, LE, Diagnostic Support (1 Core, Enterprise, Multi-tenant, Hourly)",HOUR,CORE BAND,USD,0.07
RH02229MO,"Red Hat Enterprise Linux for IBM Power, LE, Diagnostic Support (1 Core, Enterprise, Multi-tenant, Monthly)",MONTH,CORE BAND,USD,48
RH02230,"Red Hat Enterprise Linux for IBM Power, LE, Full Support (1 Core, Enterprise, Multi-tenant, Yearly)",ANNUAL,CORE BAND,USD,632
RH02230HR,"Red Hat Enterprise Linux for IBM Power, LE, Full Support (1 Core, Enterprise, Multi-tenant, Hourly)",HOUR,CORE BAND,USD,0.09
RH02230MO,"Red Hat Enterprise Linux for IBM Power, LE, Full Support (1 Core, Enterprise, Multi-tenant, Monthly)",MONTH,CORE BAND,USD,57
RH02605,"Red Hat Enterprise Linux Server for ARM, Full Support (Physical or Virtual Nodes, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE OR VIRTUAL NODE,USD,943.8
RH02605HR,"Red Hat Enterprise Linux Server for ARM, Full Support (Physical or Virtual Nodes, Dedicated, Hourly)",HOUR,PHYSICAL NODE OR VIRTUAL NODE,USD,0.143
RH02605MO,"Red Hat Enterprise Linux Server for ARM, Full Support (Physical or Virtual Nodes, Dedicated, Monthly)",MONTH,PHYSICAL NODE OR VIRTUAL NODE,USD,85.8
RH02606,"Red Hat Enterprise Linux Server for ARM, Diagnostic Support (Physical or Virtual Nodes, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE OR VIRTUAL NODE,USD,786.5
RH02606HR,"Red Hat Enterprise Linux Server for ARM, Diagnostic Support (Physical or Virtual Nodes, Dedicated, Hourly)",HOUR,PHYSICAL NODE OR VIRTUAL NODE,USD,0.121
RH02606MO,"Red Hat Enterprise Linux Server for ARM, Diagnostic Support (Physical or Virtual Nodes, Dedicated, Monthly)",MONTH,PHYSICAL NODE OR VIRTUAL NODE,USD,71.5
RH02647,"Red Hat Enterprise Linux Server for HPC Compute Node for ARM, Full Support (Physical or Virtual Nodes, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE OR VIRTUAL NODE,USD,325.6
RH02647HR,"Red Hat Enterprise Linux Server for HPC Compute Node for ARM, Full Support (Physical or Virtual Nodes, Dedicated, Hourly)",HOUR,PHYSICAL NODE OR VIRTUAL NODE,USD,0.044
RH02647MO,"Red Hat Enterprise Linux Server for HPC Compute Node for ARM, Full Support (Physical or Virtual Nodes, Dedicated, Monthly)",MONTH,PHYSICAL NODE OR VIRTUAL NODE,USD,29.7
RH02648,"Red Hat Enterprise Linux Server for HPC Compute Node for ARM, Diagnostic Support (Physical or Virtual Nodes, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE OR VIRTUAL NODE,USD,271.7
RH02648HR,"Red Hat Enterprise Linux Server for HPC Compute Node for ARM, Diagnostic Support (Physical or Virtual Nodes, Dedicated, Hourly)",HOUR,PHYSICAL NODE OR VIRTUAL NODE,USD,0.033
RH02648MO,"Red Hat Enterprise Linux Server for HPC Compute Node for ARM, Diagnostic Support (Physical or Virtual Nodes, Dedicated, Monthly)",MONTH,PHYSICAL NODE OR VIRTUAL NODE,USD,24.2
RH02649,"Red Hat Enterprise Linux Server for HPC Compute Node, Full Support (Physical or Virtual Nodes, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE OR VIRTUAL NODE,USD,325.6
RH02649HR,"Red Hat Enterprise Linux Server for HPC Compute Node, Full Support (Physical or Virtual Nodes, Dedicated, Hourly)",HOUR,PHYSICAL NODE OR VIRTUAL NODE,USD,0.044
RH02649MO,"Red Hat Enterprise Linux Server for HPC Compute Node, Full Support (Physical or Virtual Nodes, Dedicated, Monthly)",MONTH,PHYSICAL NODE OR VIRTUAL NODE,USD,29.7
RH02650,"Red Hat Enterprise Linux Server for HPC Compute Node, Diagnostic Support (Physical or Virtual Nodes, Dedicated, Yearly)",ANNUAL,PHYSICAL NODE OR VIRTUAL NODE,USD,271.7
RH02650HR,"Red Hat Enterprise Linux Server for HPC Compute Node, Diagnostic Support (Physical or Virtual Nodes, Dedicated, Hourly)",HOUR,PHYSICAL NODE OR VIRTUAL NODE,USD,0.033
RH02650MO,"Red Hat Enterprise Linux Server for HPC Compute Node, Diagnostic Support (Physical or Virtual Nodes, Dedicated, Monthly)",MONTH,PHYSICAL NODE OR VIRTUAL NODE,USD,24.2
RH02823,"Red Hat Enterprise Linux Server, Full Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,101.322
RH02823HR,"Red Hat Enterprise Linux Server, Full Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.015
RH02823MO,"Red Hat Enterprise Linux Server, Full Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,9.743
RH02824,"Red Hat Enterprise Linux Server, Full Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,75.992
RH02824HR,"Red Hat Enterprise Linux Server, Full Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.011
RH02824MO,"Red Hat Enterprise Linux Server, Full Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,7.307
RH02825,"Red Hat Enterprise Linux Server, Full Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,65.859
RH02825HR,"Red Hat Enterprise Linux Server, Full Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.01
RH02825MO,"Red Hat Enterprise Linux Server, Full Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,6.333
RH02826,"Red Hat Enterprise Linux Server, Diagnostic Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,84.435
RH02826HR,"Red Hat Enterprise Linux Server, Diagnostic Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.012
RH02826MO,"Red Hat Enterprise Linux Server, Diagnostic Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,8.119
RH02827,"Red Hat Enterprise Linux Server, Diagnostic Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,63.326
RH02827HR,"Red Hat Enterprise Linux Server, Diagnostic Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.009
RH02827MO,"Red Hat Enterprise Linux Server, Diagnostic Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,6.089
RH02828,"Red Hat Enterprise Linux Server, Diagnostic Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,54.883
RH02828HR,"Red Hat Enterprise Linux Server, Diagnostic Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.008
RH02828MO,"Red Hat Enterprise Linux Server, Diagnostic Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,5.277
RH02829,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Full Support (1 to 8 for each vCPU per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,146.515
RH02829HR,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Full Support (1 to 8 for each vCPU per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.022
RH02829MO,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Full Support (1 to 8 for each vCPU per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,14.088
RH02830,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Full Support (9 to 127 for each vCPU per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,109.886
RH02830HR,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Full Support (9 to 127 for each vCPU per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.016
RH02830MO,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Full Support (9 to 127 for each vCPU per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,10.566
RH02831,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Full Support (128 to unlimited for each vCPU per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,95.235
RH02831HR,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Full Support (128 to unlimited for each vCPU per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.014
RH02831MO,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Full Support (128 to unlimited for each vCPU per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,9.157
RH02832,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Diagnostic Support (1 to 8 for each vCPU per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,122.096
RH02832HR,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Diagnostic Support (1 to 8 for each vCPU per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.018
RH02832MO,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Diagnostic Support (1 to 8 for each vCPU per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,11.74
RH02833,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Diagnostic Support (9 to 127 for each vCPU per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,91.572
RH02833HR,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Diagnostic Support (9 to 127 for each vCPU per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.013
RH02833MO,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Diagnostic Support (9 to 127 for each vCPU per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,8.805
RH02834,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Diagnostic Support (128 to unlimited for each vCPU per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,79.362
RH02834HR,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Diagnostic Support (128 to unlimited for each vCPU per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.012
RH02834MO,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Diagnostic Support (128 to unlimited for each vCPU per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,7.631
RH02835,"Red Hat Enterprise Linux Server for ARM, Full Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,101.322
RH02835HR,"Red Hat Enterprise Linux Server for ARM, Full Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.015
RH02835MO,"Red Hat Enterprise Linux Server for ARM, Full Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,9.743
RH02836,"Red Hat Enterprise Linux Server for ARM, Full Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,75.992
RH02836HR,"Red Hat Enterprise Linux Server for ARM, Full Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.011
RH02836MO,"Red Hat Enterprise Linux Server for ARM, Full Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,7.307
RH02837,"Red Hat Enterprise Linux Server for ARM, Full Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,65.859
RH02837HR,"Red Hat Enterprise Linux Server for ARM, Full Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.01
RH02837MO,"Red Hat Enterprise Linux Server for ARM, Full Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,6.333
RH02838,"Red Hat Enterprise Linux Server for ARM, Diagnostic Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,84.435
RH02838HR,"Red Hat Enterprise Linux Server for ARM, Diagnostic Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.012
RH02838MO,"Red Hat Enterprise Linux Server for ARM, Diagnostic Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,8.119
RH02839,"Red Hat Enterprise Linux Server for ARM, Diagnostic Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,63.326
RH02839HR,"Red Hat Enterprise Linux Server for ARM, Diagnostic Support 9 to 127 vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.009
RH02839MO,"Red Hat Enterprise Linux Server for ARM, Diagnostic Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,6.089
RH02840,"Red Hat Enterprise Linux Server for ARM, Diagnostic Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,54.883
RH02840HR,"Red Hat Enterprise Linux Server for ARM, Diagnostic Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.008
RH02840MO,"Red Hat Enterprise Linux Server for ARM, Diagnostic Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,5.28
RH02841,"Red Hat Enterprise Linux for SAP Applications, Diagnostic Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,84.435
RH02841HR,"Red Hat Enterprise Linux for SAP Applications, Diagnostic Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.012
RH02841MO,"Red Hat Enterprise Linux for SAP Applications, Diagnostic Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,8.119
RH02842,"Red Hat Enterprise Linux for SAP Applications, Diagnostic Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,63.326
RH02842HR,"Red Hat Enterprise Linux for SAP Applications, Diagnostic Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.009
RH02842MO,"Red Hat Enterprise Linux for SAP Applications, Diagnostic Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,6.089
RH02843,"Red Hat Enterprise Linux for SAP Applications, Diagnostic Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,54.883
RH02843HR,"Red Hat Enterprise Linux for SAP Applications, Diagnostic Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.008
RH02843MO,"Red Hat Enterprise Linux for SAP Applications, Diagnostic Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,5.277
RH02844,"Red Hat Enterprise Linux, High Availability Add-On, Layered Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,25.935
RH02844HR,"Red Hat Enterprise Linux, High Availability Add-On, Layered Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.005
RH02844MO,"Red Hat Enterprise Linux, High Availability Add-On, Layered Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,2.993
RH02845,"Red Hat Enterprise Linux, High Availability Add-On, Layered Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,19.451
RH02845HR,"Red Hat Enterprise Linux, High Availability Add-On, Layered Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.004
RH02845MO,"Red Hat Enterprise Linux, High Availability Add-On, Layered Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,2.244
RH02846,"Red Hat Enterprise Linux, High Availability Add-On, Layered Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,16.858
RH02846HR,"Red Hat Enterprise Linux, High Availability Add-On, Layered Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.003
RH02846MO,"Red Hat Enterprise Linux, High Availability Add-On, Layered Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,1.945
RH02847,"Red Hat Enterprise Linux, Extended Life Cycle Support Add-On, Layered Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,45.435
RH02847HR,"Red Hat Enterprise Linux, Extended Life Cycle Support Add-On, Layered Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.007
RH02847MO,"Red Hat Enterprise Linux, Extended Life Cycle Support Add-On, Layered Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,4.369
RH02848,"Red Hat Enterprise Linux, Extended Life Cycle Support Add-On, Layered Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,34.076
RH02848HR,"Red Hat Enterprise Linux, Extended Life Cycle Support Add-On, Layered Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.005
RH02848MO,"Red Hat Enterprise Linux, Extended Life Cycle Support Add-On, Layered Support 9 to 127 vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,3.277
RH02849,"Red Hat Enterprise Linux, Extended Life Cycle Support Add-On, Layered Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,29.533
RH02849HR,"Red Hat Enterprise Linux, Extended Life Cycle Support Add-On, Layered Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.004
RH02849MO,"Red Hat Enterprise Linux, Extended Life Cycle Support Add-On, Layered Support (128 to unlimited vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,2.84
RH02996,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Full Support (32 or more vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,3516.365
RH02996HR,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Full Support (32 or more vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.517
RH02996MO,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Full Support (32 or more vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,338.112
RH02997,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Diagnostic Support (32 or more vCPUs per Virtual Node, Multi-Tenant, Yearly)",ANNUAL,VIRTUAL NODE,USD,2930.304
RH02997HR,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Diagnostic Support (32 or more vCPUs per Virtual Node, Multi-Tenant, Hourly)",HOUR,VIRTUAL NODE,USD,0.431
RH02997MO,"Red Hat Enterprise Linux for SAP with High Availability and Update Services, Diagnostic Support (32 or more vCPUs per Virtual Node, Multi-Tenant, Monthly)",MONTH,VIRTUAL NODE,USD,281.76
RS00090MO,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Diagnostic Support (Up to 256TB, Monthly)",MONTH,STORAGE BAND,USD,1664.3
RS00091MO,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Diagnostic Support (Up to 512TB, Monthly)",MONTH,STORAGE BAND,USD,3105.3
RS00092MO,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Diagnostic Support (Up to 1PB, Monthly)",MONTH,STORAGE BAND,USD,5546.2
RS00093MO,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Diagnostic Support (Up to 2PB, Monthly)",MONTH,STORAGE BAND,USD,10814.1
RS00094MO,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Diagnostic Support (Up to 3PB, Monthly)",MONTH,STORAGE BAND,USD,15805.9
RS00095MO,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Diagnostic Support (Up to 4PB, Monthly)",MONTH,STORAGE BAND,USD,20519.4
RS00096MO,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Diagnostic Support (Up to 5PB, Monthly)",MONTH,STORAGE BAND,USD,24956.8
RS00291,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Diagnostic Support (Up to 1PB, Yearly)",ANNUAL,STORAGE BAND,USD,60500
RS00291MO,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Diagnostic Support (Up to 1PB, Monthly)",MONTH,STORAGE BAND,USD,5546.2
RS00292,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Diagnostic Support (Up to 1.2 PB, Yearly)",ANNUAL,STORAGE BAND,USD,72600
RS00292MO,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Diagnostic Support (Up to 1.2 PB, Monthly)",MONTH,STORAGE BAND,USD,6655
RS00293,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Diagnostic Support (Up to 1.4 PB, Yearly)",ANNUAL,STORAGE BAND,USD,84700
RS00293MO,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Diagnostic Support (Up to 1.4 PB, Monthly)",MONTH,STORAGE BAND,USD,7763.8
RS00294,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Diagnostic Support (Up to 1.6 PB, Yearly)",ANNUAL,STORAGE BAND,USD,96800
RS00294MO,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Diagnostic Support (Up to 1.6 PB, Monthly)",MONTH,STORAGE BAND,USD,8873.7
RS00295,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Diagnostic Support (Up to 1.8 PB, Yearly)",ANNUAL,STORAGE BAND,USD,108900
RS00295MO,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Diagnostic Support (Up to 1.8 PB, Monthly)",MONTH,STORAGE BAND,USD,9982.5
RS00296,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Full Support (Up to 1PB, Yearly)",ANNUAL,STORAGE BAND,USD,79557.5
RS00296MO,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Full Support (Up to 1PB, Monthly)",MONTH,STORAGE BAND,USD,7293
RS00297,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Full Support (Up to 1.2 PB, Yearly)",ANNUAL,STORAGE BAND,USD,95469
RS00297MO,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Full Support (Up to 1.2 PB, Monthly)",MONTH,STORAGE BAND,USD,8751.6
